time,battery_current,soc,solarCurrent,solarVoltage,battery_voltage,solar_power
0.2,15.66581371,51.64387435,7.949979455,18.78090694,12.89358488,147.4131284
0.3,14.30907676,51.64364821,7.910333545,21.83197448,12.89200775,169.721608
0.4,12.90234983,51.6433853,7.535457317,25.88574158,12.89206433,193.4581252
0.5,12.50110474,51.64310477,7.366560069,26.51791878,12.89171673,194.9971581
0.6,12.96146128,51.64281332,7.333721112,26.62120611,12.89055832,195.1247252
0.7,12.7309291,51.6425138,7.252715131,26.85661761,12.8903829,195.3251716
0.8,12.54422326,51.64220831,7.392650388,26.43209841,12.89027771,194.8446156
0.9,12.99166407,51.64189841,7.294154588,26.73937642,12.88949326,195.2513951
1,12.57931879,51.64158524,7.289557698,26.75269627,12.88980399,195.272738
1.1,14.88880113,51.64126114,5.862989021,27.4780824,12.88585742,161.1295419
1.2,14.95504511,51.64092159,5.896188043,27.34427978,12.88492318,160.9967536
1.3,15.08259666,51.64057065,5.893576551,27.35514168,12.88413659,161.009723
1.4,15.33105083,51.64021128,5.829223565,27.60548901,12.88336747,161.1985544
1.5,15.02929587,51.63984568,5.814679906,27.6579655,12.88338045,161.2151073
1.6,17.57418538,51.63946603,4.43782976,27.99404968,12.87891664,124.0434446
1.7,17.85115301,51.63906774,4.407694661,28.16827469,12.87754847,124.1705359
1.8,17.61190159,51.63865567,4.363215018,28.39850364,12.8770667,124.2332518
1.9,17.39045359,51.63823343,4.41647496,28.1192108,12.87676767,124.1472656
2,17.61030702,51.63780365,4.440088512,27.98029076,12.87608562,124.0297589
2.1,20.24739949,51.63735797,2.875867346,29.2096381,12.8713305,84.34714893
2.2,20.90710933,51.63689131,2.8847238,29.15058804,12.86937638,84.39179331
2.3,21.01745883,51.63640917,2.954861251,28.59430608,12.86838808,84.4368258
2.4,20.46781035,51.63591557,2.995205834,28.16606994,12.86841304,84.09636974
2.5,20.00942661,51.6354135,2.987425826,28.25760427,12.86848859,84.19178183
2.6,24.38342717,51.63489399,1.463830212,28.73609964,12.86150354,42.09342051
2.7,22.67892638,51.63435143,1.493721437,28.14828764,12.8622731,41.9905341
2.8,24.12387973,51.63379183,1.433727971,29.16870143,12.85958029,41.93046157
2.9,23.09027481,51.63321963,1.506905386,27.79964812,12.8601322,41.79871886
3,23.56824773,51.6326381,1.41709543,29.36620268,12.85902121,41.76910855
3.1,24.40572252,51.63204401,0.746696986,27.65027198,12.85694159,20.63201295
3.2,25.65235841,51.63143541,0.739908623,27.94935808,12.85462973,20.67545883
3.3,24.82824048,51.63081604,0.721449034,28.55540107,12.85501463,20.6230091
3.4,24.75768102,51.63018871,0.75132138,27.40781998,12.8546669,20.57097118
3.5,25.56551077,51.6295555,0.729834559,28.30865806,12.85335797,20.67056319
3.6,25.66229642,51.6289168,0.589981272,28.40479462,12.85286124,16.75535945
3.7,25.39135237,51.62827314,0.577478085,28.94202629,12.8529079,16.72521397
3.8,25.02386182,51.62762583,0.59511849,28.11449369,12.85315172,16.72235176
3.9,25.64890393,51.6269758,0.587588769,28.52323649,12.85224097,16.75985072
4,25.14814375,51.62632377,0.578386621,28.90873948,12.85272616,16.7311972
0,-1.40625E-09,56.47969052,8.024830487,0.004814898,0,0
0.1,16.74711463,56.47962627,7.961475349,16.46212186,12.91351225,130.0792979
0.2,15.6994064,56.47946386,7.949836954,18.80270191,12.91003716,147.5840999
0.3,14.34409728,56.47923726,7.909697927,21.85738541,12.90872493,169.9120181
0.4,12.94690889,56.47897377,7.528918273,25.91428823,12.90890244,193.5558994
0.5,12.65835793,56.4786925,7.389936841,26.4411897,12.90848169,194.8611872
0.6,13.05200405,56.47840016,7.271515856,26.80420187,12.90744509,195.2973028
0.7,12.5888454,56.47809964,7.310489308,26.69137274,12.90758396,195.221354
0.8,12.79414191,56.47779306,7.385535342,26.45585267,12.90703194,194.8608281
0.9,13.00574456,56.47748201,7.240993631,26.88867807,12.90654672,195.3305965
1,12.55933836,56.47716765,7.347408576,26.57876368,12.90691437,195.0886493
1.1,15.09433642,56.47684232,5.857862522,27.49795857,12.90279587,161.14477
